year,scenario,variable,mean,p05,p95,relative_to
2027,SSP2-4.5,GSAT_anomaly_C,1.405550502516968,1.219137705763506,1.615513408180928,1850-1900
2028,SSP2-4.5,GSAT_anomaly_C,1.432808940708781,1.237643951975757,1.649756037744748,1850-1900
2029,SSP2-4.5,GSAT_anomaly_C,1.458037593503638,1.256396785535068,1.68445996702132,1850-1900
2030,SSP2-4.5,GSAT_anomaly_C,1.48294275576227,1.274936568271051,1.719285453897807,1850-1900
2031,SSP2-4.5,GSAT_anomaly_C,1.506218010741999,1.292468584707412,1.753360468622823,1850-1900
2032,SSP2-4.5,GSAT_anomaly_C,1.529446014101711,1.308623294101188,1.785807755600006,1850-1900
2033,SSP2-4.5,GSAT_anomaly_C,1.55143229097889,1.324961657783553,1.819314982323102,1850-1900
2034,SSP2-4.5,GSAT_anomaly_C,1.57280012306276,1.342530448089616,1.852066717813797,1850-1900
2035,SSP2-4.5,GSAT_anomaly_C,1.594112393233473,1.35906994453849,1.883886441373794,1850-1900
2036,SSP2-4.5,GSAT_anomaly_C,1.617129302052716,1.375798721833882,1.915774851605658,1850-1900
2037,SSP2-4.5,GSAT_anomaly_C,1.640932093307593,1.39280257433538,1.947663860125229,1850-1900
2038,SSP2-4.5,GSAT_anomaly_C,1.665194436449729,1.411512043538506,1.981725927171893,1850-1900
2039,SSP2-4.5,GSAT_anomaly_C,1.689145254915772,1.430457863527148,2.015682911162007,1850-1900
2040,SSP2-4.5,GSAT_anomaly_C,1.712334759468767,1.447977301937588,2.048896824633195,1850-1900
2041,SSP2-4.5,GSAT_anomaly_C,1.736928985891696,1.464779510570541,2.083229703021045,1850-1900
2042,SSP2-4.5,GSAT_anomaly_C,1.761675215485853,1.482958172105699,2.117549809711891,1850-1900
2043,SSP2-4.5,GSAT_anomaly_C,1.786704845768131,1.501285494546965,2.151695108973837,1850-1900
2044,SSP2-4.5,GSAT_anomaly_C,1.809090932484144,1.518787094719242,2.186173353111513,1850-1900
2045,SSP2-4.5,GSAT_anomaly_C,1.830748445375887,1.535671297561093,2.226299123668887,1850-1900
2046,SSP2-4.5,GSAT_anomaly_C,1.854509374921051,1.551353970019864,2.258704353254239,1850-1900
2047,SSP2-4.5,GSAT_anomaly_C,1.879956885551003,1.566968531338836,2.293169330986506,1850-1900
2048,SSP2-4.5,GSAT_anomaly_C,1.901738632855262,1.583189501940827,2.328049804452505,1850-1900
2049,SSP2-4.5,GSAT_anomaly_C,1.922370183236501,1.597920268376517,2.359299245443345,1850-1900
2050,SSP2-4.5,GSAT_anomaly_C,1.945773952960029,1.613801546322585,2.400274990804041,1850-1900
2020,SSP3-7.0,GSAT_anomaly_C,1.220170946525605,1.091036930738058,1.370755150499996,1850-1900
2021,SSP3-7.0,GSAT_anomaly_C,1.246637159458847,1.10903394042536,1.406841456187012,1850-1900
2022,SSP3-7.0,GSAT_anomaly_C,1.272722974614036,1.125932763916097,1.442604037282837,1850-1900
2023,SSP3-7.0,GSAT_anomaly_C,1.298628834710558,1.143262484378585,1.473310668795081,1850-1900
2024,SSP3-7.0,GSAT_anomaly_C,1.323940761743512,1.160836265680661,1.51401739433267,1850-1900
2025,SSP3-7.0,GSAT_anomaly_C,1.349195875714134,1.178657790469369,1.549546990530077,1850-1900
2026,SSP3-7.0,GSAT_anomaly_C,1.375721085836694,1.197034988864125,1.585632059465587,1850-1900
2027,SSP3-7.0,GSAT_anomaly_C,1.403254349976567,1.215712848447609,1.62211737649294,1850-1900
2028,SSP3-7.0,GSAT_anomaly_C,1.432134838609275,1.235792308145979,1.6550380449204,1850-1900
2029,SSP3-7.0,GSAT_anomaly_C,1.460234515150054,1.255146496187015,1.692432561648252,1850-1900
2030,SSP3-7.0,GSAT_anomaly_C,1.488259292215729,1.275278833145089,1.730267693907512,1850-1900
2031,SSP3-7.0,GSAT_anomaly_C,1.51741063935421,1.295744599205414,1.768977615670483,1850-1900
2032,SSP3-7.0,GSAT_anomaly_C,1.546276025285596,1.316980207957595,1.807687353641295,1850-1900
2033,SSP3-7.0,GSAT_anomaly_C,1.574460239623207,1.336947039888533,1.847415638136963,1850-1900
2034,SSP3-7.0,GSAT_anomaly_C,1.601990581839867,1.3594662297632,1.886146522038763,1850-1900
2035,SSP3-7.0,GSAT_anomaly_C,1.629818762297442,1.381661204023772,1.924070301588838,1850-1900
2036,SSP3-7.0,GSAT_anomaly_C,1.659600945116512,1.403978168746543,1.967068668973933,1850-1900
2037,SSP3-7.0,GSAT_anomaly_C,1.690527409447634,1.426399278753085,2.006207026940428,1850-1900
2038,SSP3-7.0,GSAT_anomaly_C,1.720359927597269,1.446730797623922,2.046633260431213,1850-1900
2039,SSP3-7.0,GSAT_anomaly_C,1.74949416013746,1.470006730247978,2.086582468441344,1850-1900
2040,SSP3-7.0,GSAT_anomaly_C,1.781320366347479,1.497057271705476,2.128589055286525,1850-1900
2041,SSP3-7.0,GSAT_anomaly_C,1.815078355209781,1.522525370547796,2.166976675050206,1850-1900
2042,SSP3-7.0,GSAT_anomaly_C,1.847174852153686,1.547611927652392,2.214677385919436,1850-1900
2043,SSP3-7.0,GSAT_anomaly_C,1.876230381836789,1.57146940378506,2.256587779837925,1850-1900
2044,SSP3-7.0,GSAT_anomaly_C,1.907567188666911,1.595442963947487,2.299763869887964,1850-1900
2045,SSP3-7.0,GSAT_anomaly_C,1.940398883979673,1.619481419050125,2.3432549616771,1850-1900
2046,SSP3-7.0,GSAT_anomaly_C,1.973963076678114,1.644293209809687,2.386487628777335,1850-1900
2047,SSP3-7.0,GSAT_anomaly_C,2.006339542365465,1.669187416101723,2.429366418990997,1850-1900
2048,SSP3-7.0,GSAT_anomaly_C,2.037212553348312,1.692866399262988,2.470722476315645,1850-1900
2049,SSP3-7.0,GSAT_anomaly_C,2.066088304989041,1.717817481824106,2.513280735092999,1850-1900
2050,SSP3-7.0,GSAT_anomaly_C,2.100658251917069,1.741237338665582,2.558017478858506,1850-1900
2020,SSP5-8.5,GSAT_anomaly_C,1.253726950259474,1.120566689073966,1.415059583469086,1850-1900
2021,SSP5-8.5,GSAT_anomaly_C,1.283470131803174,1.14297241151824,1.45678177106822,1850-1900
2022,SSP5-8.5,GSAT_anomaly_C,1.315981986131451,1.165054366235245,1.501338114484208,1850-1900
2023,SSP5-8.5,GSAT_anomaly_C,1.346799973679663,1.186427868710072,1.538984084630744,1850-1900
2024,SSP5-8.5,GSAT_anomaly_C,1.37680334150879,1.205258006688249,1.581494072767053,1850-1900
2025,SSP5-8.5,GSAT_anomaly_C,1.40963853117141,1.224146437072668,1.626236507810627,1850-1900
2026,SSP5-8.5,GSAT_anomaly_C,1.441877805869133,1.247006610528411,1.66799999405406,1850-1900
2027,SSP5-8.5,GSAT_anomaly_C,1.475212513921877,1.271120574034329,1.711516606771606,1850-1900
2028,SSP5-8.5,GSAT_anomaly_C,1.509049321150155,1.294156065911475,1.756477730936045,1850-1900
2029,SSP5-8.5,GSAT_anomaly_C,1.543635753919159,1.318304949679756,1.798085457520598,1850-1900
2030,SSP5-8.5,GSAT_anomaly_C,1.576928656447998,1.340855324913612,1.841457708591788,1850-1900
